R,a1,a2,a3,E
4.7,60,90,0,-76.97782955
4.7,90,90,0,-76.97782955
4.7,30,90,180,-76.97782955
4.7,90,90,180,-76.97782955
4.7,60,90,180,-76.97782955
4.7,0,90,180,-76.97782955
4.1,90,90,60,-76.97782923
3.8,60,60,120,-76.97782918
4.4,30,30,90,-76.97782875
4.2,90,60,60,-76.97782866
4.5,30,90,30,-76.97782842
4.5,30,90,150,-76.97782842
4.0,30,60,150,-76.97782806
4.1,90,90,120,-76.97782797
4.4,0,30,90,-76.9778278
4.2,90,60,120,-76.97782741
4.1,90,30,30,-76.97782699
4.1,90,30,150,-76.97782699
3.3,60,30,60,-76.97782686
3.5,90,90,60,-76.97782664
3.9,60,60,120,-76.97782623
3.8,30,90,60,-76.97782585
3.5,90,90,120,-76.97782539
4.5,60,30,60,-76.97782532
4.5,0,90,30,-76.97782499
4.5,0,90,150,-76.97782499
3.8,30,90,120,-76.97782458
3.5,0,30,30,-76.97782442
3.6,60,60,150,-76.97782362
3.6,30,60,90,-76.97782356
4.1,90,60,90,-76.97782322
4.4,90,30,60,-76.97782303
4.6,90,0,90,-76.97782265
4.6,0,0,90,-76.97782265
4.6,60,0,90,-76.97782253
3.9,30,60,90,-76.97782248
3.7,60,60,120,-76.97782228
4.4,0,60,60,-76.97782218
3.8,90,30,30,-76.97782208
3.8,90,30,150,-76.97782208
4.4,90,30,120,-76.97782179
3.9,30,90,60,-76.97782157
3.9,0,30,120,-76.97782157
4.6,0,30,60,-76.9778213
4.6,30,0,90,-76.97782128
3.8,0,30,120,-76.97782108
3.8,30,60,150,-76.97782093
4.3,60,60,150,-76.97782093
4.4,30,60,60,-76.97782091
3.9,30,90,120,-76.97782031
3.7,30,90,60,-76.97782024
4.5,0,30,30,-76.97782006
3.8,0,60,90,-76.97781945
3.7,0,60,90,-76.97781945
4.1,60,90,60,-76.97781941
3.5,60,30,120,-76.97781941
3.7,30,90,120,-76.97781898
4.1,30,60,150,-76.97781883
4.1,60,90,120,-76.97781815
4.6,60,60,30,-76.97781741
4.6,30,30,60,-76.97781734
4.5,60,0,60,-76.97781702
4.5,30,0,60,-76.97781702
4.5,90,0,60,-76.97781691
4.5,0,0,60,-76.97781691
4.0,60,60,120,-76.97781653
4.1,30,30,120,-76.97781629
4.5,30,0,120,-76.97781579999999
4.5,60,0,120,-76.97781579999999
3.6,60,30,30,-76.97781576
4.5,90,0,120,-76.97781568
4.5,0,0,120,-76.97781568
4.5,90,30,90,-76.97781552
4.6,90,90,30,-76.97781543
4.6,90,90,150,-76.97781543
4.0,0,30,120,-76.97781496
4.5,30,30,30,-76.97781407
4.1,60,60,90,-76.97781392
3.3,30,60,30,-76.97781388
4.2,90,30,150,-76.97781382
4.2,90,30,30,-76.97781382
4.5,90,60,30,-76.97781363
4.5,90,60,150,-76.97781363
4.7,0,60,30,-76.97781359999999
4.4,60,30,30,-76.97781339
4.6,90,60,0,-76.97781322
4.6,60,60,0,-76.97781322
4.6,60,60,180,-76.97781322
4.6,90,60,180,-76.97781322
4.6,30,60,0,-76.97781322
