   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
   14.10000000          0      1     14      2    1          2.70448      
   14.10000000          0      1     14      1    2          2.39876      
   14.10000000          0      1     14      2    2          302.720      
   14.15000000          0      1     14      1    1          248.162      
   14.15000000          0      1     14      2    1          3.04807      
   14.15000000          0      1     14      1    2          2.67110      
   14.15000000          0      1     14      2    2          310.597      
   14.20000000          0      1     14      1    1          247.385      
   14.20000000          0      1     14      2    1          3.40467      
   14.20000000          0      1     14      1    2          2.94848      
   14.20000000          0      1     14      2    2          319.663      
   14.25000000          0      1     14      1    1          246.626      
   14.25000000          0      1     14      2    1          3.75282      
   14.25000000          0      1     14      1    2          3.21245      
   14.25000000          0      1     14      2    2          329.678      
   14.30000000          0      1     14      1    1          245.926      
   14.30000000          0      1     14      2    1          4.06559      
   14.30000000          0      1     14      1    2          3.44072      
   14.30000000          0      1     14      2    2          340.266      
   14.35000000          0      1     14      1    1          245.329      
   14.35000000          0      1     14      2    1          4.31522      
   14.35000000          0      1     14      1    2          3.61132      
   14.35000000          0      1     14      2    2          350.980      
   14.40000000          0      1     14      1    1          244.870      
   14.40000000          0      1     14      2    1          4.47918      
   14.40000000          0      1     14      1    2          3.70755      
   14.40000000          0      1     14      2    2          361.364      
   14.45000000          0      1     14      1    1          244.570      
   14.45000000          0      1     14      2    1          4.54552      
   14.45000000          0      1     14      1    2          3.72203      
   14.45000000          0      1     14      2    2          371.028      
   14.50000000          0      1     14      1    1          244.429      
   14.50000000          0      1     14      2    1          4.51539      
   14.50000000          0      1     14      1    2          3.65833      
   14.50000000          0      1     14      2    2          379.656      
   14.55000000          0      1     14      1    1          244.424      
   14.55000000          0      1     14      2    1          4.40189      
   14.55000000          0      1     14      1    2          3.52937      
   14.55000000          0      1     14      2    2          387.003      
   14.60000000          0      1     14      1    1          244.517      
   14.60000000          0      1     14      2    1          4.22575      
   14.60000000          0      1     14      1    2          3.35359      
   14.60000000          0      1     14      2    2          392.884      
   14.65000000          0      1     14      1    1          244.667      
   14.65000000          0      1     14      2    1          4.00993      
   14.65000000          0      1     14      1    2          3.15040      
   14.65000000          0      1     14      2    2          397.170      
   14.70000000          0      1     14      1    1          244.835      
   14.70000000          0      1     14      2    1          3.77529      
   14.70000000          0      1     14      1    2          2.93680      
   14.70000000          0      1     14      2    2          399.787      
   14.75000000          0      1     14      1    1          244.993      
   14.75000000          0      1     14      2    1          3.53813      
   14.75000000          0      1     14      1    2          2.72562      
   14.75000000          0      1     14      2    2          400.736      
   14.80000000          0      1     14      1    1          245.119      
   14.80000000          0      1     14      2    1          3.30972      
   14.80000000          0      1     14      1    2          2.52533      
   14.80000000          0      1     14      2    2          400.094      
   14.85000000          0      1     14      1    1          245.204      
   14.85000000          0      1     14      2    1          3.09688      
   14.85000000          0      1     14      1    2          2.34075      
   14.85000000          0      1     14      2    2          398.026      
   14.90000000          0      1     14      1    1          245.241      
   14.90000000          0      1     14      2    1          2.90310      
   14.90000000          0      1     14      1    2          2.17401      
   14.90000000          0      1     14      2    2          394.758      
   14.95000000          0      1     14      1    1          245.229      
   14.95000000          0      1     14      2    1          2.72961      
   14.95000000          0      1     14      1    2          2.02549      
   14.95000000          0      1     14      2    2          390.553      
   15.00000000          0      1     14      1    1          245.170      
   15.00000000          0      1     14      2    1          2.57618      
   15.00000000          0      1     14      1    2          1.89453      
   15.00000000          0      1     14      2    2          385.676      
   15.05000000          0      1     14      1    1          245.067      
   15.05000000          0      1     14      2    1          2.44181      
   15.05000000          0      1     14      1    2          1.77989      
   15.05000000          0      1     14      2    2          380.374      
   15.10000000          0      1     14      1    1          244.923      
   15.10000000          0      1     14      2    1          2.32512      
   15.10000000          0      1     14      1    2          1.68011      
   15.10000000          0      1     14      2    2          374.852      
   15.15000000          0      1     14      1    1          244.742      
   15.15000000          0      1     14      2    1          2.22459      
   15.15000000          0      1     14      1    2          1.59373      
   15.15000000          0      1     14      2    2          369.277      
   15.20000000          0      1     14      1    1          244.527      
   15.20000000          0      1     14      2    1          2.13872      
   15.20000000          0      1     14      1    2          1.51931      
   15.20000000          0      1     14      2    2          363.769      
   15.25000000          0      1     14      1    1          244.282      
   15.25000000          0      1     14      2    1          2.06614      
   15.25000000          0      1     14      1    2          1.45556      
   15.25000000          0      1     14      2    2          358.414      
   15.30000000          0      1     14      1    1          244.009      
   15.30000000          0      1     14      2    1          2.00559      
   15.30000000          0      1     14      1    2          1.40135      
   15.30000000          0      1     14      2    2          353.269      
   15.35000000          0      1     14      1    1          243.711      
   15.35000000          0      1     14      2    1          1.95596      
   15.35000000          0      1     14      1    2          1.35567      
   15.35000000          0      1     14      2    2          348.367      
   15.40000000          0      1     14      1    1          243.389      
   15.40000000          0      1     14      2    1          1.91632      
   15.40000000          0      1     14      1    2          1.31765      
   15.40000000          0      1     14      2    2          343.728      
   15.45000000          0      1     14      1    1          243.047      
   15.45000000          0      1     14      2    1          1.88587      
   15.45000000          0      1     14      1    2          1.28656      
   15.45000000          0      1     14      2    2          339.354      
   15.50000000          0      1     14      1    1          242.685      
   15.50000000          0      1     14      2    1          1.86392      
   15.50000000          0      1     14      1    2          1.26177      
   15.50000000          0      1     14      2    2          335.248      
   15.55000000          0      1     14      1    1          242.306      
   15.55000000          0      1     14      2    1          1.84993      
   15.55000000          0      1     14      1    2          1.24277      
   15.55000000          0      1     14      2    2          331.404      
   15.60000000          0      1     14      1    1          241.910      
   15.60000000          0      1     14      2    1          1.84342      
   15.60000000          0      1     14      1    2          1.22911      
   15.60000000          0      1     14      2    2          327.813      
   15.65000000          0      1     14      1    1          241.499      
   15.65000000          0      1     14      2    1          1.84403      
   15.65000000          0      1     14      1    2          1.22041      
   15.65000000          0      1     14      2    2          324.467      
   15.70000000          0      1     14      1    1          241.073      
   15.70000000          0      1     14      2    1          1.85148      
